lasku_id,tilaus_id,pvm,tyyppi,summa
L26-0001,T26-003,2026-06-07,lasku,1900.00
L26-0002,T26-005,2026-06-08,lasku,600.00
L26-0003,T26-008,2026-06-11,ennakkolasku,4720.00
L26-0004,T26-001,2026-06-12,lasku,690.00
L26-0005,T26-004,2026-06-12,lasku,1490.00
L26-0006,T26-002,2026-06-15,lasku,3515.00
L26-0007,T26-007,2026-06-16,lasku,2400.00
L26-0008,T26-006,2026-06-20,lasku,3752.00
L26-0009,T26-009,2026-06-20,lasku,4950.00
L26-0010,T26-008,2026-06-21,lasku,7080.00
L26-0011,T26-010,2026-06-29,lasku,3440.00
L26-0012,T26-011,2026-06-29,lasku,900.00
L26-0013,T26-013,2026-06-29,lasku,2000.00
L26-0014,T26-017,2026-06-30,lasku,2150.00
L26-0015,T26-001,2026-07-01,hyvityslasku,-172.50
L26-0016,T26-019,2026-07-01,lasku,2800.00
L26-0017,T26-014,2026-07-02,lasku,890.00
L26-0018,T26-018,2026-07-03,lasku,10342.50
L26-0019,T26-012,2026-07-04,lasku,3750.00
L26-0020,T26-021,2026-07-06,lasku,5690.00
L26-0021,T26-023,2026-07-08,lasku,2350.00
L26-0022,T26-016,2026-07-09,lasku,6300.00
L26-0023,T26-026,2026-07-09,ennakkolasku,4720.00
L26-0024,T26-015,2026-07-12,lasku,6560.00
L26-0025,T26-020,2026-07-14,lasku,7042.50
L26-0026,T26-024,2026-07-15,lasku,1500.00
L26-0027,T26-030,2026-07-15,ennakkolasku,4182.00
L26-0028,T26-031,2026-07-16,ennakkolasku,4796.80
L26-0029,T26-022,2026-07-18,lasku,2617.50
L26-0030,T26-027,2026-07-18,lasku,1900.00
L26-0031,T26-028,2026-07-20,lasku,3700.00
L26-0032,T26-032,2026-07-20,lasku,1450.00
L26-0033,T26-029,2026-07-21,lasku,9760.00
L26-0034,T26-026,2026-07-22,lasku,7080.00
L26-0035,T26-031,2026-07-22,lasku,7195.20
L26-0036,T26-025,2026-07-23,lasku,2450.00
L26-0037,T26-033,2026-07-26,lasku,1200.00
L26-0038,T26-030,2026-07-28,lasku,6273.00
L26-0039,T26-024,2026-07-31,hyvityslasku,-750.00
L26-0040,T26-039,2026-08-04,lasku,1550.00
L26-0041,T26-034,2026-08-05,lasku,1350.00
L26-0042,T26-035,2026-08-05,lasku,7200.00
L26-0043,T26-036,2026-08-08,lasku,6337.50
L26-0044,T26-037,2026-08-10,lasku,1100.00
L26-0045,T26-040,2026-08-11,lasku,2635.00
L26-0046,T26-041,2026-08-18,lasku,1710.00
L26-0047,T26-038,2026-08-21,lasku,7080.00
L26-0048,T26-045,2026-08-22,lasku,1590.00
L26-0049,T26-042,2026-08-25,lasku,10250.00
L26-0050,T26-043,2026-08-25,lasku,11680.00
L26-0051,T26-038,2026-08-31,hyvityslasku,-7080.00
L26-0052,T26-046,2026-08-31,lasku,1750.00
L26-0053,T26-050,2026-09-03,lasku,3200.00
L26-0054,T26-044,2026-09-04,lasku,7320.00
