toimitus_id,tilaus_id,pvm,lahtopaikka,tila
TO26-001,T26-003,2026-06-07,OULU-SHOWROOM,toimitettu
TO26-002,T26-005,2026-06-08,NIVALA,toimitettu
TO26-003,T26-001,2026-06-09,NIVALA,toimitettu
TO26-004,T26-004,2026-06-10,NIVALA,toimitettu
TO26-005,T26-002,2026-06-14,NIVALA,toimitettu
TO26-006,T26-007,2026-06-16,TOIMITTAJA-SUORA,toimitettu
TO26-007,T26-009,2026-06-17,NIVALA,toimitettu
TO26-008,T26-006,2026-06-20,NIVALA,toimitettu
TO26-009,T26-008,2026-06-20,NIVALA,toimitettu
TO26-010,T26-013,2026-06-26,NIVALA,toimitettu
TO26-011,T26-011,2026-06-27,NIVALA,toimitettu
TO26-012,T26-010,2026-06-28,NIVALA,toimitettu
TO26-013,T26-017,2026-06-28,NIVALA,toimitettu
TO26-014,T26-015,2026-07-01,NIVALA,toimitettu
TO26-015,T26-012,2026-07-02,NIVALA,toimitettu
TO26-016,T26-014,2026-07-02,NIVALA,toimitettu
TO26-017,T26-018,2026-07-02,NIVALA,toimitettu
TO26-018,T26-021,2026-07-06,NIVALA,toimitettu
TO26-019,T26-023,2026-07-06,NIVALA,toimitettu
TO26-020,T26-016,2026-07-07,NIVALA,toimitettu
TO26-021,T26-020,2026-07-08,NIVALA,toimitettu
TO26-022,T26-022,2026-07-08,NIVALA,toimitettu
TO26-023,T26-015,2026-07-11,NIVALA,toimitettu
TO26-024,T26-020,2026-07-13,NIVALA,toimitettu
TO26-025,T26-022,2026-07-15,NIVALA,toimitettu
TO26-026,T26-024,2026-07-15,NIVALA,toimitettu
TO26-027,T26-027,2026-07-18,NIVALA,toimitettu
TO26-028,T26-028,2026-07-18,NIVALA,toimitettu
TO26-029,T26-029,2026-07-18,NIVALA,toimitettu
TO26-030,T26-032,2026-07-19,TOIMITTAJA-SUORA,toimitettu
TO26-031,T26-025,2026-07-20,OULU-SHOWROOM,toimitettu
TO26-032,T26-026,2026-07-20,NIVALA,toimitettu
TO26-033,T26-031,2026-07-22,NIVALA,toimitettu
TO26-034,T26-033,2026-07-26,NIVALA,toimitettu
TO26-035,T26-030,2026-07-27,NIVALA,toimitettu
TO26-036,T26-034,2026-08-02,NIVALA,toimitettu
TO26-037,T26-035,2026-08-05,NIVALA,toimitettu
TO26-038,T26-036,2026-08-06,NIVALA,toimitettu
TO26-039,T26-040,2026-08-09,NIVALA,toimitettu
TO26-040,T26-037,2026-08-10,OULU-SHOWROOM,toimitettu
TO26-041,T26-038,2026-08-11,NIVALA,toimitettu
TO26-042,T26-039,2026-08-11,NIVALA,toimitettu
TO26-043,T26-041,2026-08-15,OULU-SHOWROOM,toimitettu
TO26-044,T26-038,2026-08-18,NIVALA,toimitettu
TO26-045,T25-047,2026-08-19,NIVALA,toimitettu
TO26-046,T26-043,2026-08-22,NIVALA,toimitettu
TO26-047,T26-045,2026-08-22,OULU-SHOWROOM,toimitettu
TO26-048,T26-042,2026-08-23,TOIMITTAJA-SUORA,toimitettu
TO26-049,T26-044,2026-08-25,NIVALA,toimitettu
TO26-050,T26-046,2026-08-28,NIVALA,toimitettu
TO26-051,T26-044,2026-09-01,NIVALA,toimitettu
TO26-052,T26-050,2026-09-01,NIVALA,toimitettu
