id,kirjausaika,tapahtuma_aika,tyyppi,tuote,maara,yksikko,lahde,kohde,viite,tila
E0001,2026-08-01 09:03,2026-08-01 08:00,inventointi,POYTA-02,23,kpl,,NIVALA,Alkuinventaario,vahvistettu
E0002,2026-08-01 09:08,2026-08-01 08:00,inventointi,POYTA-02,3,kpl,,OULU,Alkuinventaario,vahvistettu
E0003,2026-08-01 09:35,2026-08-01 08:00,inventointi,TUOLI-01,16,kpl,,OULU,Alkuinventaario,vahvistettu
E0004,2026-08-01 09:51,2026-08-01 08:00,inventointi,LAMPPU-07,148,kpl,,NIVALA,Alkuinventaario,vahvistettu
E0005,2026-08-01 09:51,2026-08-01 08:00,inventointi,LAMPPU-07,28,kpl,,OULU,Alkuinventaario,vahvistettu
E0006,2026-08-01 09:56,2026-08-01 08:00,inventointi,TUOLI-01,91,kpl,,NIVALA,Alkuinventaario,vahvistettu
E0007,2026-08-03 08:27,2026-08-03 08:04,toimitus,TUOLI-01,3,kpl,NIVALA,ASIAKAS,SO-2128,vahvistettu
E0008,2026-08-03 10:13,2026-08-03 10:08,vastaanotto,TUOLI-01,4,ltk,TOIMITTAJA,NIVALA,PO-529,vahvistettu
E0009,2026-08-03 12:14,2026-08-03 09:19,toimitus,TUOLI-01,9,kpl,NIVALA,ASIAKAS,SO-2129,vahvistettu
E0010,2026-08-04 11:05,2026-08-04 08:04,toimitus,LAMPPU-07,11,kpl,NIVALA,ASIAKAS,SO-2130,vahvistettu
E0011,2026-08-04 11:54,2026-08-04 09:14,toimitus,TUOLI-01,2,kpl,NIVALA,ASIAKAS,SO-2131,vahvistettu
E0012,2026-08-04 12:56,2026-08-04 11:10,toimitus,LAMPPU-07,3,kpl,NIVALA,ASIAKAS,SO-2132,vahvistettu
E0013,2026-08-05 15:20,2026-08-05 14:10,toimitus,TUOLI-01,10,kpl,NIVALA,ASIAKAS,SO-2133,vahvistettu
E0014,2026-08-05 18:15,2026-08-05 15:08,toimitus,LAMPPU-07,5,kpl,NIVALA,ASIAKAS,SO-2134,vahvistettu
E0015,2026-08-06 13:43,2026-08-06 12:59,toimitus,LAMPPU-07,4,kpl,NIVALA,ASIAKAS,SO-2135,vahvistettu
E0016,2026-08-06 16:20,2026-08-06 14:09,toimitus,LAMPPU-07,3,kpl,NIVALA,ASIAKAS,SO-2136,vahvistettu
E0017,2026-08-07 11:52,2026-08-07 10:06,vastaanotto,POYTA-02,6,kpl,TOIMITTAJA,NIVALA,PO-530,vahvistettu
E0018,2026-08-07 18:20,2026-08-07 18:20,peruutus,,,,,,E0016,vahvistettu
E0019,2026-08-10 12:40,2026-08-10 11:00,toimitus,POYTA-02,5,kpl,OULU,ASIAKAS,SO-2137,vahvistettu
E0020,2026-08-10 15:01,2026-08-10 12:35,siirto,LAMPPU-07,24,kpl,NIVALA,OULU,Täydennys Oulu,vahvistettu
E0021,2026-08-11 10:16,2026-08-11 09:20,toimitus,TUOLI-01,5,kpl,NIVALA,ASIAKAS,SO-2138,vahvistettu
E0022,2026-08-11 12:04,2026-08-11 10:48,toimitus,LAMPPU-07,8,kpl,NIVALA,ASIAKAS,SO-2139,vahvistettu
E0023,2026-08-12 10:05,2026-08-12 09:30,siirto,POYTA-02,4,kpl,NIVALA,OULU,Täydennys Oulu,vahvistettu
E0024,2026-08-12 14:31,2026-08-12 10:41,vastaanotto,LAMPPU-07,5,ltk,TOIMITTAJA,NIVALA,PO-531,vahvistettu
E0025,2026-08-12 17:38,2026-08-12 14:01,toimitus,POYTA-02,2,kpl,NIVALA,ASIAKAS,SO-2140,vahvistettu
E0026,2026-08-13 13:30,2026-08-13 09:30,siirto,TUOLI-01,8,kpl,NIVALA,OULU,Täydennys Oulu,vahvistettu
E0027,2026-08-13 18:42,2026-08-13 15:05,siirto,LAMPPU-07,24,kpl,NIVALA,OULU,Täydennys Oulu,vahvistettu
E0028,2026-08-14 12:07,2026-08-14 11:54,vastaanotto,LAMPPU-07,5,ltk,TOIMITTAJA,NIVALA,PO-532,vahvistettu
E0029,2026-08-14 13:05,2026-08-14 10:18,toimitus,TUOLI-01,12,kpl,NIVALA,ASIAKAS,SO-2141,vahvistettu
E0030,2026-08-17 11:05,2026-08-17 09:00,inventointi,TUOLI-01,50,kpl,,NIVALA,Välilaskenta,vahvistettu
E0031,2026-08-17 13:34,2026-08-17 11:00,toimitus,TUOLI-01,4,kpl,OULU,ASIAKAS,SO-2143,vahvistettu
E0032,2026-08-17 17:42,2026-08-17 16:16,toimitus,TUOLI-01,6,kpl,NIVALA,ASIAKAS,SO-2144,vahvistettu
E0033,2026-08-17 18:29,2026-08-17 16:47,toimitus,TUOLI-01,1,kpl,OULU,ASIAKAS,SO-2145,vahvistettu
E0034,2026-08-18 10:15,2026-08-14 15:40,toimitus,TUOLI-01,6,kpl,NIVALA,ASIAKAS,SO-2142,vahvistettu
E0035,2026-08-18 11:52,2026-08-18 10:53,toimitus,TUOLI-01,6,kpl,NIVALA,ASIAKAS,SO-2146,vahvistettu
E0036,2026-08-18 12:00,2026-08-18 11:45,toimitus,TUOLI-01,4,kpl,OULU,ASIAKAS,SO-2147,vahvistettu
E0037,2026-08-19 08:44,2026-08-19 08:04,vastaanotto,LAMPPU-07,2,ltk,TOIMITTAJA,NIVALA,PO-533,vahvistettu
E0038,2026-08-19 09:24,2026-08-19 08:13,toimitus,LAMPPU-07,3,kpl,OULU,ASIAKAS,SO-2148,vahvistettu
E0039,2026-08-19 10:30,2026-08-19 09:32,toimitus,TUOLI-01,7,kpl,NIVALA,ASIAKAS,SO-2149,vahvistettu
E0039,2026-08-19 10:33,2026-08-19 09:32,toimitus,TUOLI-01,7,kpl,NIVALA,ASIAKAS,SO-2149,vahvistettu
E0040,2026-08-20 10:17,2026-08-20 10:05,toimitus,TUOLI-01,1,kpl,OULU,ASIAKAS,SO-2151,vahvistettu
E0041,2026-08-20 10:56,2026-08-20 09:37,toimitus,LAMPPU-07,4,kpl,NIVALA,ASIAKAS,SO-2150,vahvistettu
E0042,2026-08-20 14:28,2026-08-20 13:52,toimitus,TUOLI-01,3,kpl,OULU,ASIAKAS,SO-2152,vahvistettu
E0043,2026-08-21 10:31,2026-08-21 10:00,toimitus,LAMPPU-07,11,kpl,NIVALA,ASIAKAS,SO-2153,vahvistettu
E0044,2026-08-21 14:02,2026-08-21 14:00,vastaanotto,POYTA-02,6,kpl,TOIMITTAJA,NIVALA,PO-534,luonnos
E0045,2026-08-24 13:20,2026-08-24 12:07,toimitus,LAMPPU-07,12,kpl,NIVALA,ASIAKAS,SO-2154,vahvistettu
E0046,2026-08-24 16:30,2026-08-24 16:30,peruutus,,,,,,E0999,vahvistettu
E0047,2026-08-24 18:25,2026-08-24 16:55,vastaanotto,TUOLI-01,5,ltk,TOIMITTAJA,NIVALA,PO-535,vahvistettu
E0048,2026-08-25 11:26,2026-08-25 10:40,siirto,TUOLI-01,8,kpl,NIVALA,OULU,Täydennys Oulu,vahvistettu
E0049,2026-08-25 12:13,2026-08-25 08:14,vastaanotto,POYTA-02,4,kpl,TOIMITTAJA,NIVALA,PO-536,vahvistettu
E0050,2026-08-25 19:07,2026-08-25 16:53,toimitus,TUOLI-01,2,kpl,OULU,ASIAKAS,SO-2155,vahvistettu
E0051,2026-08-26 09:48,2026-08-26 09:45,toimitus,LAMPPU-07,12,kpl,NIVALA,ASIAKAS,SO-2156,luonnos
E0052,2026-08-26 18:12,2026-08-26 15:45,toimitus,TUOLI-01,10,kpl,NIVALA,ASIAKAS,SO-2157,vahvistettu
E0053,2026-08-27 17:11,2026-08-27 13:38,toimitus,TUOLI-01,12,kpl,NIVALA,ASIAKAS,SO-2158,vahvistettu
E0054,2026-08-28 09:31,2026-08-28 08:45,vastaanotto,LAMPPU-07,5,ltk,TOIMITTAJA,NIVALA,PO-537,vahvistettu
E0055,2026-08-28 13:03,2026-08-28 10:35,palautus,TUOLI-01,2,kpl,ASIAKAS,NIVALA,RMA-146,vahvistettu
